# source: opsd_household_fetch
hour,demand_kwh_reference
8987,0.42151975724422786
8988,0.47063597243651817
8989,0.45817364917865344
8990,0.3518773625692192
8991,0.6546385099464814
8992,0.9530011902913992
8993,1.4991441801126075
8994,1.1633945299944288
8995,0.7939232992964986
8996,0.6634354440108369
8997,0.5498083790143842
8998,0.488962918403731
8999,0.3262196382149879
9000,0.34821197337570997
9001,0.370204308536432
9002,0.4288505356312463
9003,0.35041120689188215
9004,0.1759386812844429
9005,0.20526179483218343
9006,0.9273434659375013
9007,0.39366279937449106
9008,0.4251851464377371
9009,0.2602426327334885
9010,0.22212258512172586
9011,0.1942656272519891
9012,0.23605106405659423
9013,0.23458490837925722
9014,0.19793101644549832
9015,0.1561455796398931
9016,0.2800357343780383
9017,0.9530011902917326
9018,0.8577010712624926
9019,0.24558107595978493
9020,0.20013024996100381
9021,0.520485265466977
9022,0.24558107595978493
9023,0.5439437563047027
9024,0.19793101644516495
9025,0.08063856225553635
9026,0.1612771245110727
9027,0.1906002380581465
9028,0.20526179483218343
9029,0.28223496789421054
9030,0.5373460557565194
9031,0.3350165722793434
9032,0.8599003047786649
9033,0.7587355630397434
9034,1.1362706499631938
9035,0.6377777196566056
9036,0.9676627470654361
9037,0.7602017187170804
9038,0.8760280172293721
9039,0.5996576720451763
9040,0.9126819091641311
9041,1.1084136920927905
9042,1.4331671746307746
9043,0.7184162819124753
9044,0.9625312021942565
9045,0.55347376820756
9046,0.40685820047085763
9047,0.2675734111201736
9048,0.24924646515362753
9049,0.2052617948315167
9050,0.219923351605887
9051,0.2580433992176496
9052,0.33208426092466936
9053,0.521951421144314
9054,0.7843932873936413
9055,0.3885312545036448
9056,0.41272282317987236
9057,0.5168198762738011
9058,0.5168198762734677
9059,0.49262830759690684
9060,0.27710342302336427
9061,0.2785695787007013
9062,0.36287353014941354
9063,0.5314814330468379
9064,1.1985822662515175
9065,0.7821940538778025
9066,0.5849961152714728
9067,0.6634354440105035
9068,0.6524392764303092
9069,0.5366129779183509
9070,0.7477393954595491
9071,0.30276114737726223
9072,0.5476091454982119
9073,0.14881480125320798
9074,0.12242399906047487
9075,0.16714174722042077
9076,0.23825029757309982
9077,0.4471774815984591
9078,0.6487738872368
9079,0.3643396858267505
9080,0.3100919257642807
9081,0.5131544870799585
9082,1.315874720441146
9083,0.6157853844962169
9084,0.9456704119043807
9085,0.38633202098780595
9086,0.5116883314022881
9087,0.510955253564453
9088,0.8357087361017705
9089,0.8357087361017705
9090,0.643642342366287
9091,0.6377777196566056
9092,0.5769322590459525
9093,0.46183903837216267
9094,0.38706509882597445
9095,0.20672795050918708
9096,0.15394634612405422
9097,0.15614557964022643
9098,0.18693484886463727
9099,0.24924646515362753
9100,0.2565772435396459
9101,0.8503702928758075
9102,0.43618131401826477
9103,0.23971645325010346
9104,0.5776653368841209
9105,0.3313511830865009
9106,0.7939232992964986
9107,0.7110855035251235
9108,0.24924646515329416
9109,0.3460127398598711
9110,0.4273843799535759
9111,0.7000893359449292
9112,0.6942247132359144
9113,0.9749935254521213
9114,0.9478696454208863
9115,0.6890931683644015
9116,0.6121199953027077
9117,0.5058237086932734
9118,0.27123880031368286
9119,0.22358874079906288
9120,0.24558107595978493
9121,0.24558107595978493
9122,0.20892718402569266
9123,0.2345849083795906
9124,0.2235887407987295
9125,0.6832285456557201
9126,0.6436423423659536
9127,0.821047179328067
9128,0.789524832264821
9129,0.3907304880194837
9130,0.34088119498869146
9131,0.5476091454985453
9132,0.3042273030545992
9133,0.590127660142319
9134,0.3577419852782339
9135,0.8994865080677645
9136,0.6304469412699205
9137,0.7755963533292859
9138,1.4273025519214266
9139,0.45304210430814057
9140,0.546142989820875
9141,0.4596398048559905
9142,0.43984670321144065
9143,0.2844342014103828
9144,0.1759386812844429
9145,0.1979310164448316
9146,0.1810702261559559
9147,0.22578797431490172
9148,0.370204308536432
9149,0.719882437589479
9150,1.048301309320639
9151,1.237435391701782
9152,1.1252744823829997
9153,0.8540356820689834
9154,0.6047892169156892
9155,2.4499461368881676
9156,2.7439103502010744
9157,0.9288096216148383
9158,1.3488632231820625
9159,1.4075094502768768
9160,0.6069884504318614
9161,0.8027202333611876
9162,0.520485265466977
9163,0.43031669130824995
9164,0.4347151583405944
9165,0.3056934587322696
9166,0.11729245418962861
9167,0.13195401096333217
9168,0.13781863367301364
9169,0.21039333970302967
9170,0.18913408238080948
9171,0.151747112607882
9172,0.19426562725165572
9173,0.5827968817553005
9174,0.5630037801107507
9175,1.0446359201274633
9176,0.8173817901348911
9177,0.7125516592024606
9178,0.1869348488649706
9179,0.2822349678938772
9180,0.46550442756567195
9181,0.6304469412699205
9182,0.39219664369682067
9183,0.7316116830081751
9184,0.45450825998547756
9185,0.9200126875504828
9186,1.1487329732210587
9187,0.4435120924049499
9188,0.34454658418220074
9189,0.3775350869231171
9190,0.46183903837216267
9191,0.3247534825376509
9192,0.2015964056386742
9193,0.15028095693087837
9194,0.18840100454230763
9195,0.2602426327334885
9196,0.24191568676627567
9197,0.2844342014100494
9198,0.6157853844962169
9199,1.3305362772148497
9200,2.0416217807399732
9201,1.3561940015684142
9202,1.3451978339885533
9203,1.235236158185943
9204,1.1289398715761754
9205,0.3848658653098022
9206,0.39219664369715407
9207,0.39366279937449106
9208,0.7609347965559157
9209,1.101082913705772
9210,1.046835153643302
9211,1.0959513688355924
9212,0.6780970007845405
9213,0.4523090264693054
9214,0.41418897885754274
9215,0.3247534825373175
9216,0.289565746281229
9217,0.28956574628089565
9218,0.2543780100241404
9219,0.2331187527019202
9220,0.2910319019582327
9221,0.4545082599851442
9222,1.483016467661567
9223,0.45230902646897203
9224,0.4567074935016498
9225,0.41418897885754274
9226,0.3188888598283028
9227,0.6685669888813498
9228,0.47136905027502
9229,0.4691698167588478
9230,0.35920814095623765
9231,0.4449782480822869
9232,0.4933613854354087
9233,0.8774941729070425
9234,0.8796934064228813
9235,1.2682246609268595
9236,0.5336806665630102
9237,0.8188479458122281
9238,0.33721580579551563
9239,0.32841887173116013
9240,0.21992335160555365
9241,0.23825029757309982
9242,0.3042273030545992
9243,0.28956574628089565
9244,0.3386819614728526
9245,0.48236521785521436
9246,0.4141889788578761
9247,0.8760280172293721
9248,0.9896550822258248
9249,0.3848658653098022
9250,0.38120047611662633
9251,0.3628735301497469
9252,0.3973281885680003
9253,0.6304469412695871
9254,0.5556730017240656
9255,0.6282477077537483
9256,0.6839616234935552
9257,1.262360038217178
9258,0.5754661033682821
9259,0.6011238277225134
9260,0.43984670321144065
9261,0.5006921638227605
9262,0.4889629184030643
9263,0.4310497691474185
9264,0.19793101644516495
9265,0.24338184244394606
9266,0.2257879743152351
9267,0.2675734111201736
9268,0.36287353014941354
9269,0.4852975292098884
9270,0.39219664369715407
9271,0.6289807855922501
9272,0.4361813140179314
9273,0.8151825566187189
9274,0.4765005951458663
9275,0.8452387480049612
9276,0.4435120924049499
9277,0.7638671079105896
9278,0.8012540776835172
9279,0.821047179328067
9280,0.7220816711056511
9281,0.7147508927186327
9282,0.6011238277225134
9283,0.542477600627699
9284,0.4325159248244222
9285,0.33721580579551563
9286,0.2602426327334885
9287,0.21625796241237777
9288,0.21625796241237777
9289,0.17593868128477627
9290,0.27123880031368286
9291,0.28883266844206046
9292,0.25511108786264225
9293,0.5791314925617913
9294,0.6986231802675921
9295,0.48749676272606063
9296,0.33355041660233975
9297,0.6304469412695871
9298,0.44131285888911104
9299,1.1582629851232493
9300,0.3702043085367654
9301,0.8708964723585257
9302,0.8555018377466538
9303,0.8415733588111186
9304,0.5952592050128319
9305,0.8027202333611876
9306,0.49849293030625497
9307,0.47503443946852925
9308,0.5901276601419856
9309,0.39366279937449106
9310,0.4325159248244222
9311,0.24044953108893866
9312,0.2272541299925721
9313,0.18326945967179475
9314,0.22138950728289067
9315,0.25511108786264225
9316,0.30789269224810845
9317,0.3738696977299412
9318,0.9090165199702884
9319,0.37020430853609865
9320,0.6341123304634297
9321,0.29103190195856604
9322,0.7279462938149993
9323,0.3848658653098022
9324,0.5058237086932734
9325,0.7624009522332527
9326,0.9053511307771126
9327,1.3833178816003158
9328,0.691292401880907
9329,1.0534328541914852
9330,0.6890931683644015
9331,0.5827968817553005
9332,0.5556730017237322
9333,0.7492055511372195
9334,0.5241506546601529
9335,0.9749935254521213
9336,0.45817364917898684
9337,0.39219664369682067
9338,0.4435120924049499
9339,0.4310497691474185
9340,0.37020430853609865
9341,0.5476091454985453
9342,0.5336806665630102
9343,0.6429092645277852
9344,0.7572694073624064
9345,0.3262196382149879
9346,1.411174839470386
9347,0.6209169293667298
9348,1.062962866094676
9349,1.4207048513732432
9350,1.6288989575597674
9351,1.5489934731430663
9352,1.4624902881785151
9353,1.271890050119702
9354,0.8225133350057374
9355,1.1861199429936526
9356,0.7843932873939747
9357,0.5644699357880877
9358,0.4339820805017592
9359,0.3907304880194837
9360,0.39366279937482446
9361,0.22945336350841095
9362,0.15541250180139124
9363,0.13928478935001729
9364,0.27710342302369767
9365,0.799054844167345
9366,0.267573411120507
9367,0.41785436805105197
9368,0.38633202098713926
9369,1.3730547918586233
9370,0.9126819091641311
9371,0.7220816711053178
9372,0.30789269224810845
9373,0.8225133350057374
9374,0.5593383909169081
9375,0.672232378074859
9376,0.9786589146456305
9377,1.7212667652343332
9378,1.0204443514509023
9379,0.9661965913877657
9380,0.41565513453487973
9381,0.4127228231802057
9382,0.45597441566248126
9383,0.27343803383018844
9384,0.20306256131567785
9385,0.14148402286652287
9386,0.16127712451073933
9387,0.23825029757309982
9388,0.24924646515329416
9389,1.295348540957761
9390,0.5373460557565194
9391,0.7308786051700067
9392,0.2602426327334885
9393,0.23825029757276645
9394,0.39219664369715407
9395,1.0321735968692651
9396,0.5805976482394617
9397,0.3555427517627284
9398,0.4347151583405944
9399,0.43984670321144065
9400,0.6487738872371334
9401,0.8664980053268481
9402,1.3635247799554326
9403,0.9405388670338678
9404,0.6194507736893928
9405,0.9346742443245197
9406,0.5168198762738011
9407,0.8027202333608542
9408,0.2749041895071921
9409,0.21259257321886854
9410,0.21259257321920189
9411,0.2162579624120444
9412,0.4581736491783201
9413,0.8041863890385246
9414,0.6802962343007126
9415,0.38853125450331144
9416,0.3826666317939634
9417,0.30276114737726223
9418,0.3738696977299412
9419,0.9090165199706218
9420,0.450842870791635
9421,0.7565363295239046
9422,0.6671008332040127
9423,0.5776653368844543
9424,0.8811595621002183
9425,0.7330778386861789
9426,0.7426078505887028
9427,0.7235478267829882
9428,0.7755963533292859
9429,0.6304469412699205
9430,0.3958620328903299
9431,0.40099357776117617
9432,0.251445698669133
9433,0.267573411120507
9434,0.23825029757276645
9435,0.21259257321886854
9436,0.29836268034525115
9437,0.7242809046214901
9438,0.7528709403303954
9439,0.5776653368844543
9440,0.7382093835566917
9441,0.2954303689905771
9442,1.3085439420541276
9443,0.4435120924049499
9444,0.2785695787007013
9445,0.2763703451845291
9446,0.4361813140179314
9447,0.9310088551310105
9448,1.0006512498063524
9449,0.740408617072864
9450,0.5739999476906117
9451,0.9493358010982234
9452,1.035105908224606
9453,0.4545082599851442
9454,0.38120047611662633
9455,0.35920814095623765
9456,0.2734380338295217
9457,0.24704723163712194
9458,0.26610725544316993
9459,0.2763703451845291
9460,0.27343803382985504
9461,0.8320433469085947
9462,0.8723626280358628
9463,0.8833587956167239
9464,0.35700890743973207
9465,0.6583038991399907
9466,0.4691698167588478
9467,1.1436014283502123
9468,0.34821197337570997
9469,0.6355784861404334
9470,0.8708964723588591
9471,0.3592081409559043
9472,0.6832285456553867
9473,0.7829271317163043
9474,0.6062553725933596
9475,0.4347151583405944
9476,0.6304469412699205
9477,0.5498083790143842
9478,0.569601480658934
9479,0.49849293030625497
9480,0.19426562725165572
9481,0.1026308974162584
9482,0.13415324447950439
9483,0.14661556773703577
9484,0.221389507283224
9485,0.691292401880907
9486,0.48163214001637916
9487,1.0028504833221914
9488,0.4948275411130791
9489,0.3958620328903299
9490,0.4545082599851442
9491,1.1084136920931238
9492,0.8489041371981371
9493,1.0776244228680463
9494,1.0996167580291016
9495,0.7477393954592157
9496,0.8445056701661261
9497,1.4610241325008448
