# source: pvgis_fetch
hour,solar_kw_per_kwp
5607,0.23168
5608,0.05649
5609,0.0
5610,0.0
5611,0.0
5612,0.0
5613,0.0
5614,0.0
5615,0.0
5616,0.0
5617,0.0
5618,0.0
5619,0.0
5620,0.00497
5621,0.10308
5622,0.29629
5623,0.46752999999999995
5624,0.5984400000000001
5625,0.67902
5626,0.72724
5627,0.70921
5628,0.66225
5629,0.55949
5630,0.41475
5631,0.22755
5632,0.05529
5633,0.0
5634,0.0
5635,0.0
5636,0.0
5637,0.0
5638,0.0
5639,0.0
5640,0.0
5641,0.0
5642,0.0
5643,0.0
5644,0.004059999999999999
5645,0.10281
5646,0.29262
5647,0.4654
5648,0.6011299999999999
5649,0.6857300000000001
5650,0.72593
5651,0.7111799999999999
5652,0.64958
5653,0.56756
5654,0.41112
5655,0.22256
5656,0.0546
5657,0.0
5658,0.0
5659,0.0
5660,0.0
5661,0.0
5662,0.0
5663,0.0
5664,0.0
5665,0.0
5666,0.0
5667,0.0
5668,0.0030600000000000002
5669,0.09687
5670,0.25839999999999996
5671,0.45492
5672,0.59246
5673,0.67012
5674,0.7185499999999999
5675,0.7063400000000001
5676,0.64595
5677,0.56045
5678,0.37576
5679,0.21905000000000002
5680,0.05211
5681,0.0
5682,0.0
5683,0.0
5684,0.0
5685,0.0
5686,0.0
5687,0.0
5688,0.0
5689,0.0
5690,0.0
5691,0.0
5692,0.0
5693,0.06092
5694,0.14231
5695,0.33477999999999997
5696,0.10396999999999999
5697,0.6101
5698,0.47408
5699,0.6419
5700,0.62682
5701,0.54669
5702,0.41337999999999997
5703,0.14654
5704,0.03631
5705,0.0
5706,0.0
5707,0.0
5708,0.0
5709,0.0
5710,0.0
5711,0.0
5712,0.0
5713,0.0
5714,0.0
5715,0.0
5716,0.00262
5717,0.10341
5718,0.30155
5719,0.49549
5720,0.62403
5721,0.69813
5722,0.73082
5723,0.70938
5724,0.65872
5725,0.55786
5726,0.41673000000000004
5727,0.22776
5728,0.04956
5729,0.0
5730,0.0
5731,0.0
5732,0.0
5733,0.0
5734,0.0
5735,0.0
5736,0.0
5737,0.0
5738,0.0
5739,0.0
5740,0.00261
5741,0.10565000000000001
5742,0.30661
5743,0.48452
