family_definition,family_key,family_size,n_families_in_definition,scope,source,k,broker_count,ablation,metric,test_id,is_headline_72,degenerate,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,alpha,n_headline_tests,n_headline_surviving_holm,n_headline_surviving_bh,worst_headline_p_uncorrected,worst_headline_p_holm,worst_headline_p_bh,bonferroni_alpha_over_family_size,notes
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_both,feeder_coefficient_of_variation,main|k=1.5|bc=5|capacity_both|feeder_coefficient_of_variation,True,False,2.3999984788482108e-36,2.0639986918094613e-34,7.999994929494036e-36,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_both,feeder_peak_to_average_ratio,main|k=1.5|bc=5|capacity_both|feeder_peak_to_average_ratio,True,False,1.7548844928304955e-27,1.1933214551247368e-25,3.8997433174011014e-27,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_both,load_concentration_hhi,main|k=1.5|bc=5|capacity_both|load_concentration_hhi,False,False,0.2096256245132655,1.0,0.22065855211922683,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_both,prosumer_self_sufficiency,main|k=1.5|bc=5|capacity_both|prosumer_self_sufficiency,False,False,9.246187653664663e-24,4.253246320685745e-22,1.4599243663681047e-23,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=1.5|bc=5|capacity_pricing_only|avg_cost_per_agent_eur,True,False,2.0303347991860886e-40,2.0303347991860887e-38,1.1074553450105936e-39,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=1.5|bc=5|capacity_pricing_only|feeder_coefficient_of_variation,True,False,2.3999984788482108e-36,2.0639986918094613e-34,7.999994929494036e-36,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=1.5|bc=5|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,1.7548844928304955e-27,1.1933214551247368e-25,3.8997433174011014e-27,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_pricing_only,load_concentration_hhi,main|k=1.5|bc=5|capacity_pricing_only|load_concentration_hhi,False,False,0.2096256245132655,1.0,0.22065855211922683,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_pricing_only,prosumer_self_sufficiency,main|k=1.5|bc=5|capacity_pricing_only|prosumer_self_sufficiency,False,False,9.246187653664663e-24,4.253246320685745e-22,1.4599243663681047e-23,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.0,2.0,capacity_both,avg_cost_per_agent_eur,main|k=1|bc=2|capacity_both|avg_cost_per_agent_eur,True,False,2.957096119029785e-38,2.8388122742685936e-36,1.3648135933983623e-37,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
